,SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
92,410,LUXURAZI Grey Solid Single-Breasted Formal Suit,men-suits,"LUXURAZI Grey Solid Single Breasted Formal Suit,  LUXURAZI, Suits, Apparel Set, Apparel, Apparel for Men, Buy LUXURAZI Grey Solid Single Breasted Formal Suit Online in India, Buy Suits at best price",Wool blend,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6774707/2018/6/20/864dade2-6973-4d8a-a7eb-58befd12a96d1529488456534-LUXURAZI-Grey-Solid-Single-Breasted-Bandhgala-Suit-7771529488456297-1.jpg",Contemporary fit,13999,6774707,Myntra,https://www.myntra.com/suits/luxurazi/luxurazi-grey-solid-single-breasted-formal-suit/6774707/buy
93,3023,HRX by Hrithik Roshan Men Grey Printed Round Neck T-shirt,T-Shirts,"HRX By Hrithik Roshan Men Grey Printed Round Neck T Shirt,  HRX By Hrithik Roshan, Tshirts, Topwear, Apparel, Apparel for Men, Buy HRX By Hrithik Roshan Men Grey Printed Round Neck T Shirt Online in India, Buy Tshirts at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2428071/2018/6/16/c3e52cb3-8c4b-4801-8334-f128df5ed18c1529140435695-HRX-by-Hrithik-Roshan-Men-Grey-Printed-Round-Neck-T-shirt-83-1.jpg",The model (height 6') is wearing a size M,399,2428071,Myntra,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-printed-round-neck-t-shirt/2428071/buy
94,641,ether Men Olive Green Solid Bomber,men-jackets-coats,"Ether Men Olive Green Solid Bomber,  Ether, Jackets, Topwear, Apparel, Apparel for Men, Buy Ether Men Olive Green Solid Bomber Online in India, Buy Jackets at best price",100% polyester ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1852702/2017/8/30/11504095621822-ether-Men-Olive-Green-Solid-Bomber-6411504095621625-1.jpg",The model (height 6') is wearing a size M,1649,1852702,Myntra,https://www.myntra.com/jackets/ether/ether-men-olive-green-solid-bomber/1852702/buy
95,18799,Puma Men Red Team Essential T-shirt,T-Shirts,"Puma Men Red Team Essential T Shirt,  Puma, Tshirts, Topwear, Apparel, Apparel for Men, Buy Puma Men Red Team Essential T Shirt Online in India, Buy Tshirts at best price",100% polyester,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8172659/2018/12/20/78423af1-4125-4810-9dbe-8153d7dc004c1545282359121-Puma-Men-Red-Team-Essential-T-shirt-1991545282357871-1.jpg",The model (height 6') is wearing a size M,769,8172659,Myntra,https://www.myntra.com/tshirts/puma/puma-men-red-team-essential-t-shirt/8172659/buy
96,4630,Jack & Jones Men Blue Slim Fit Low-Rise Clean Look Stretchable Jeans,Jeans,"Jack & Jones Men Blue Slim Fit Low Rise Clean Look Stretchable Jeans,  Jack & Jones, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Jack & Jones Men Blue Slim Fit Low Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price","98% cotton, 2% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7215338/2018/8/30/d809a62a-66b2-47a5-b33d-662894e550f61535610431937-Jack--Jones-Men-Blue-Slim-Fit-Low-Rise-Clean-Look-Stretchabl-1.jpg",Slim fit,3999,7215338,Myntra,https://www.myntra.com/jeans/jack--jones/jack--jones-men-blue-slim-fit-low-rise-clean-look-stretchable-jeans/7215338/buy
97,2894,Roadster Men Grey Regular Fit Checked Casual Shirt,casual-shirts,"Roadster Men Grey Regular Fit Checked Casual Shirt,  Roadster, Shirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men Grey Regular Fit Checked Casual Shirt Online in India, Buy Shirts at best price",100% cotton ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2038064/2017/8/28/11503923827263-Roadster-Men-Grey-Regular-Fit-Checked-Casual-Shirt-3071503923827052-1.jpg",Regular Fit,719,2038064,Myntra,https://www.myntra.com/shirts/roadster/roadster-men-grey-regular-fit-checked-casual-shirt/2038064/buy
98,302,Fort Collins Men Black Solid Bomber Jacket,men-jackets-coats,"Fort Collins Men Black Solid Bomber Jacket,  Fort Collins, Jackets, Topwear, Apparel, Apparel for Men, Buy Fort Collins Men Black Solid Bomber Jacket Online in India, Buy Jackets at best price",Cotton blend,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2311206/2018/8/30/c0a492ef-9c3a-486b-9731-7aeaf03c66191535609819579-Fort-Collins-Men-Black-Solid-Bomber-Jacket-7211535609819429-1.jpg",The model (height 6') is wearing a size M,1666,2311206,Myntra,https://www.myntra.com/jackets/fort-collins/fort-collins-men-black-solid-bomber-jacket/2311206/buy
99,1522,Puma Men Navy Solid Hybrid Water Repellent Padded Jacket,men-jackets-coats,"Puma Men Navy Solid Hybrid Water Repellent Padded Jacket,  Puma, Jackets, Topwear, Apparel, Apparel for Men, Buy Puma Men Navy Solid Hybrid Water Repellent Padded Jacket Online in India, Buy Jackets at best price",100% polyester,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7473647/2018/11/26/c5be47a9-a070-4974-a7a6-72d2a5e703d71543224278539-Puma-Men-Navy-Blue-Solid-Water-Repellent-Padded-Jacket-83215-1.jpg",The model (height 6') is wearing a size M,4799,7473647,Myntra,https://www.myntra.com/jackets/puma/puma-men-navy-solid-hybrid-water-repellent-padded-jacket/7473647/buy
100,10071,Ecko Unltd Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Jeans,"Ecko Unltd Men Blue Tapered Fit Mid Rise Clean Look Stretchable Jeans,  Ecko Unltd, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Ecko Unltd Men Blue Tapered Fit Mid Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price",Cotton and elastane blend,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4448248/2018/4/14/11523689213062-Ecko-Unltd-Men-Blue-Tapered-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-5971523689212830-1.jpg",Tapered Fit,1294,4448248,Myntra,https://www.myntra.com/jeans/ecko-unltd/ecko-unltd-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/4448248/buy
101,3446,Roadster Men White & Black Regular Fit Abstract Printed Casual Shirt,casual-shirts,"Roadster Men White & Black Regular Fit Abstract Printed Casual Shirt,  Roadster, Shirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men White & Black Regular Fit Abstract Printed Casual Shirt Online in India, Buy Shirts at best price",100% cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2508233/2019/1/25/af32643e-1a3d-464c-8862-2cebe2f0313c1548409175611-Roadster-Men-White--Black-Regular-Fit-Abstract-Printed-Casua-1.jpg",Regular fit,519,2508233,Myntra,https://www.myntra.com/shirts/roadster/roadster-men-white--black-regular-fit-abstract-printed-casual-shirt/2508233/buy
