SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
48,Tommy Hilfiger Blue Striped Slim Swim Shorts S7ATN106,men-swimwear,"Tommy Hilfiger Blue Striped Slim Swim Shorts S7ATN106,  Tommy Hilfiger, Swimwear, Bottomwear, Apparel, Apparel for Men, Buy Tommy Hilfiger Blue Striped Slim Swim Shorts S7ATN106 Online in India, Buy Swimwear at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1911346/2017/6/6/11496740036873-Tommy-Hilfiger-Blue-Striped-Slim-Swim-Shorts-S7ATN106-5281496740036748-1.jpg",, 3219,1911346,Myntra,https://www.myntra.com/swimwear/tommy-hilfiger/tommy-hilfiger-blue-striped-slim-swim-shorts-s7atn106/1911346/buy
49,Speedo Men Navy Solid Swim Shorts 8007227780,men-swimwear,"Speedo Men Navy Solid Swim Shorts 8007227780,  Speedo, Swimwear, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Navy Solid Swim Shorts 8007227780 Online in India, Buy Swimwear at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1930896/2017/6/8/11496921896891-Speedo-Men-Navy-Solid-Swim-Shorts-8007227780-2581496921942629-1.jpg",, 949,1930896,Myntra,https://www.myntra.com/swimwear/speedo/speedo-men-navy-solid-swim-shorts-8007227780/1930896/buy
50,Speedo Men Black RapidEdge QUASHORT Swim Shorts 8090358995,men-swimwear,"Speedo Men Black RapidEdge QUASHORT Swim Shorts 8090358995,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black RapidEdge QUASHORT Swim Shorts 8090358995 Online in India, Buy Swim Bottoms at best price","80% nylon, 20% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501693/2018/4/23/11524486235299-Speedo-Men-Black-RapidEdge-QUASHORT-Swim-Shorts-8090358995-9301524486235166-1.jpg",The model (height 6') is wearing a size S, 584,2501693,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-rapidedge-quashort-swim-shorts-8090358995/2501693/buy
51,Speedo Men Grey Printed Monogram Jammer-USA Swim Shorts 8087438839,men-swimwear,"Speedo Men Grey Printed Monogram Jammer USA Swim Shorts 8087438839,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Grey Printed Monogram Jammer USA Swim Shorts 8087438839 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501637/2018/6/2/aadfef85-3992-42ff-9880-e312e02fb6b61527923109832-Speedo-Men-Swimwear-2751527923108189-1.jpg",, 746,2501637,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-grey-printed-monogram-jammer-usa-swim-shorts-8087438839/2501637/buy
52,Speedo Men Black Monogram Aquashort Swim Shorts 8096678966,men-swimwear,"Speedo Men Black Monogram Aquashort Swim Shorts 8096678966,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black Monogram Aquashort Swim Shorts 8096678966 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501713/2018/6/2/e6843dbe-def3-400f-b854-3c0f287c61eb1527927994195-Speedo-Men-Swimwear-2231527927993451-1.jpg",, 629,2501713,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-monogram-aquashort-swim-shorts-8096678966/2501713/buy
53,Speedo Men Navy Blue Monogram Jammer Swim Shorts 808743A324,men-swimwear,"Speedo Men Navy Blue Monogram Jammer Swim Shorts 808743A324,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Navy Blue Monogram Jammer Swim Shorts 808743A324 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501737/2018/6/2/c90ed3fb-bdde-4c61-a5ff-655d6bd5b1821527928623832-Speedo-Men-Swimwear-5061527928623759-1.jpg",, 689,2501737,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-navy-blue-monogram-jammer-swim-shorts-808743a324/2501737/buy
54,Speedo Men Black Printed AM Monogram Jammer Swim Shorts 8087438966,men-swimwear,"Speedo Men Black Printed AM Monogram Jammer Swim Shorts 8087438966,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black Printed AM Monogram Jammer Swim Shorts 8087438966 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501640/2018/6/2/2ab975fb-6e77-4852-a7bb-5bd92de678fe1527922707006-Speedo-Men-Swimwear-3841527922706906-1.jpg",, 746,2501640,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-printed-am-monogram-jammer-swim-shorts-8087438966/2501640/buy
55,Speedo Men Black AQUA Printed Swim Shorts 8090359330,men-swimwear,"Speedo Men Black AQUA Printed Swim Shorts 8090359330,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black AQUA Printed Swim Shorts 8090359330 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501694/2018/6/2/f731bd3e-b0bd-4bbc-9a9b-4328fa99d5721527925115425-Speedo-Men-Swimwear-411527925114735-1.jpg",, 649,2501694,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-aqua-printed-swim-shorts-8090359330/2501694/buy
56,Speedo Men Blue AM MAGIC Swim Shorts 806907A447,men-swimwear,"Speedo Men Blue AM MAGIC Swim Shorts 806907A447,  Speedo, Swim Bottoms, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Blue AM MAGIC Swim Shorts 806907A447 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501781/2018/4/26/11524720785863-Speedo-Men-Swim-Bottoms-351524720785765-1.jpg",, 1019,2501781,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-blue-am-magic-swim-shorts-806907a447/2501781/buy
57,Speedo Men Navy Blue Printed AQUATICPRO PNL ASHT V2 AM Swim Shorts 8045107875,men-swimwear,"Speedo Men Navy Blue Printed AQUATICPRO PNL ASHT V2 AM Swim Shorts 8045107875,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Navy Blue Printed AQUATICPRO PNL ASHT V2 AM Swim Shorts 8045107875 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501449/2018/6/2/ccc318ec-005a-47e1-83bf-abc34723084d1527924258962-Speedo-Men-Swimwear-8941527924258863-1.jpg",, 1169,2501449,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-navy-blue-printed-aquaticpro-pnl-asht-v2-am-swim-shorts-8045107875/2501449/buy
58,Kappa Men Blue Solid Swim Shorts KP SS18 COCO,men-swimwear,"Kappa Men Blue Solid Swim Shorts KP SS18 COCO,  Kappa, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Kappa Men Blue Solid Swim Shorts KP SS18 COCO Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4448582/2018/4/16/11523872505947-Kappa-Men-Swimwear-9071523872505747-1.jpg",, 629,4448582,Myntra,https://www.myntra.com/swim-bottoms/kappa/kappa-men-blue-solid-swim-shorts-kp-ss18-coco/4448582/buy
59,Speedo Men Grey Endurance Jammer Solid Swim Shorts 8007226446,men-swimwear,"Speedo Men Grey Endurance Jammer Solid Swim Shorts 8007226446,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Grey Endurance Jammer Solid Swim Shorts 8007226446 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501408/2018/6/18/bc1cbf48-3bbd-4747-b309-ee523aa8db121529299402302-Speedo-Men-Swimwear-6861529299401437-1.jpg",, 539,2501408,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-grey-endurance-jammer-solid-swim-shorts-8007226446/2501408/buy
60,Speedo Men Navy HOUSTON JAMMER Swim Shorts 8MS4110001,men-swimwear,"Speedo Men Navy HOUSTON JAMMER Swim Shorts 8MS4110001,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Navy HOUSTON JAMMER Swim Shorts 8MS4110001 Online in India, Buy Swim Bottoms at best price","80% nylon, 20% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674307/2018/7/20/1c5a6067-5d92-452e-bda1-be5a6824e6391532076309035-Speedo-Men-Navy-HOUSTON-JAMMER-Swim-Shorts-8MS4110001-8901532076308930-1.jpg",The model (height 6') is wearing a size M, 849,6674307,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-navy-houston-jammer-swim-shorts-8ms4110001/6674307/buy
61,Speedo Men Blue AM HYBRID MAGIC Swim Shorts 806907A008,men-swimwear,"Speedo Men Blue AM HYBRID MAGIC Swim Shorts 806907A008,  Speedo, Swim Bottoms, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Blue AM HYBRID MAGIC Swim Shorts 806907A008 Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501780/2018/4/26/11524722142777-Speedo-Men-Swim-Bottoms-6561524722142675-1.jpg",, 1019,2501780,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-blue-am-hybrid-magic-swim-shorts-806907a008/2501780/buy
62,Puma Men Black Swimwear,men-swimwear,"Puma Men Black Swimwear,  Puma, Swimwear, Bottomwear, Apparel, Apparel for Men, Buy Puma Men Black Swimwear Online in India, Buy Swimwear at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/images/style/properties/Puma-Men-Black-Swimwear_7f5df252f3d85be16d8929964933b6fe_images.jpg",, 959,247011,Myntra,https://www.myntra.com/swimwear/puma/puma-men-black-swimwear/247011/buy
63,Speedo Men Navy Blue Solid GALA LOGO JAMMER Swim Shorts,men-swimwear,"Speedo Men Navy Blue Solid GALA LOGO JAMMER Swim Shorts,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Navy Blue Solid GALA LOGO JAMMER Swim Shorts Online in India, Buy Swim Bottoms at best price","80% nylon, 20% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6888679/2018/12/12/ba2ce41c-b994-480e-9aee-e706a09d38551544609121055-Speedo-Men-Swimwear-6421544609120007-1.jpg",The model (height 6') is wearing a size M, 1199,6888679,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-navy-blue-solid-gala-logo-jammer-swim-shorts/6888679/buy
64,Speedo Men Black Essential Swimming Trunks,men-swimwear,"Speedo Men Black Essential Swimming Trunks,  Speedo, Swimwear, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Black Essential Swimming Trunks Online in India, Buy Swimwear at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1344695/2016/6/2/11464850646395-Speedo-Men-Black-Swimming-Trunks-8851464850646320-1.jpg",, 699,1344695,Myntra,https://www.myntra.com/swimwear/speedo/speedo-men-black-essential-swimming-trunks/1344695/buy
65,Speedo Men Black HOUSTON JAMMER Swim Shorts 8MS4110001,men-swimwear,"Speedo Men Black HOUSTON JAMMER Swim Shorts 8MS4110001,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black HOUSTON JAMMER Swim Shorts 8MS4110001 Online in India, Buy Swim Bottoms at best price","80% nylon, 20% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674344/2018/7/20/55d94e17-6fdd-43e3-9d2b-27475369b15b1532075881899-Speedo-Men-Black-HOUSTON-JAMMER-Swim-Shorts-8MS4110001-381532075881760-1.jpg",The model (height 6') is wearing a size M, 849,6674344,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-houston-jammer-swim-shorts-8ms4110001/6674344/buy
